v8-version,6,8,275,32,-node.45,0
shared-library,/home/vagrant/.nvm/versions/node/v10.14.2/bin/node,0x400000,0x2290000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.27.so,0x7f9011acf000,0x7f9011cb6000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.27.so,0x7f9011ec0000,0x7f9011eda000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f90120df000,0x7f90120f6000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.27.so,0x7f90122f7000,0x7f9012494000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25,0x7f9012695000,0x7f901280e000,0
shared-library,/lib/x86_64-linux-gnu/librt-2.27.so,0x7f9012a1e000,0x7f9012a25000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.27.so,0x7f9012c26000,0x7f9012c29000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.27.so,0x7f9012e2a000,0x7f9012e53000,0
shared-library,[vdso],0x7fff681d5000,0x7fff681d7000,0
shared-library,[vsyscall],0xffffffffff600000,0xffffffffff601000,0
profiler,begin,1000
tick,0x7f9011ed07c6,2159,0,0x0,6
tick,0x11ba67d,3175,0,0x0,6
code-creation,Builtin,3,3333,0x8f9d5b89e80,1396,RecordWrite
code-creation,Builtin,3,3433,0x8f9d5b8a440,32,AdaptorWithExitFrame
code-creation,Builtin,3,3521,0x8f9d5b8a4a0,32,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,3609,0x8f9d5b8a500,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,3696,0x8f9d5b8a640,205,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3783,0x8f9d5b8a760,274,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3871,0x8f9d5b8a8c0,299,CallFunction_ReceiverIsAny
code-creation,Builtin,3,3960,0x8f9d5b8aa40,139,CallBoundFunction
code-creation,Builtin,3,3997,0x8f9d5b8ab20,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,4033,0x8f9d5b8abe0,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,4123,0x8f9d5b8aca0,120,Call_ReceiverIsAny
code-creation,Builtin,3,4216,0x8f9d5b8ad60,1008,CallProxy
code-creation,Builtin,3,4319,0x8f9d5b8b1a0,81,CallVarargs
code-creation,Builtin,3,4413,0x8f9d5b8b240,1380,CallWithSpread
code-creation,Builtin,3,4505,0x8f9d5b8b800,1360,CallWithArrayLike
code-creation,Builtin,3,4610,0x8f9d5b8bda0,102,CallForwardVarargs
code-creation,Builtin,3,4698,0x8f9d5b8be60,102,CallFunctionForwardVarargs
code-creation,Builtin,3,4791,0x8f9d5b8bf20,26,ConstructFunction
code-creation,Builtin,3,4884,0x8f9d5b8bf80,139,ConstructBoundFunction
code-creation,Builtin,3,4973,0x8f9d5b8c060,43,ConstructedNonConstructable
code-creation,Builtin,3,5080,0x8f9d5b8c0e0,86,Construct
code-creation,Builtin,3,5170,0x8f9d5b8c180,81,ConstructVarargs
code-creation,Builtin,3,5263,0x8f9d5b8c220,1396,ConstructWithSpread
code-creation,Builtin,3,5354,0x8f9d5b8c7e0,1432,ConstructWithArrayLike
code-creation,Builtin,3,5445,0x8f9d5b8cdc0,156,ConstructForwardVarargs
code-creation,Builtin,3,5540,0x8f9d5b8cea0,156,ConstructFunctionForwardVarargs
code-creation,Builtin,3,5631,0x8f9d5b8cf80,250,JSConstructStubGeneric
code-creation,Builtin,3,5718,0x8f9d5b8d0c0,169,JSBuiltinsConstructStub
code-creation,Builtin,3,5807,0x8f9d5b8d1c0,721,FastNewObject
code-creation,Builtin,3,5878,0x8f9d5b8d4e0,355,FastNewClosure
code-creation,Builtin,3,5967,0x8f9d5b8d6a0,251,FastNewFunctionContextEval
code-creation,Builtin,3,6080,0x8f9d5b8d7e0,247,FastNewFunctionContextFunction
code-creation,Builtin,3,6177,0x8f9d5b8d920,246,CreateRegExpLiteral
code-creation,Builtin,3,6266,0x8f9d5b8da60,650,CreateEmptyArrayLiteral
code-creation,Builtin,3,6349,0x8f9d5b8dd40,1540,CreateShallowArrayLiteral
code-creation,Builtin,3,6457,0x8f9d5b8e3a0,1484,CreateShallowObjectLiteral
code-creation,Builtin,3,6552,0x8f9d5b8e9c0,1004,ConstructProxy
code-creation,Builtin,3,6640,0x8f9d5b8ee00,122,JSEntryTrampoline
code-creation,Builtin,3,6735,0x8f9d5b8eec0,122,JSConstructEntryTrampoline
code-creation,Builtin,3,6829,0x8f9d5b8ef80,326,ResumeGeneratorTrampoline
code-creation,Builtin,3,6917,0x8f9d5b8f120,17,InterruptCheck
code-creation,Builtin,3,7018,0x8f9d5b8f180,17,StackCheck
code-creation,Builtin,3,7112,0x8f9d5b8f1e0,727,StringCharAt
code-creation,Builtin,3,7203,0x8f9d5b8f500,838,StringCodePointAtUTF16
code-creation,Builtin,3,7291,0x8f9d5b8f8a0,846,StringCodePointAtUTF32
code-creation,Builtin,3,7430,0x8f9d5b8fc40,592,StringEqual
code-creation,Builtin,3,7526,0x8f9d5b8fee0,272,StringGreaterThan
code-creation,Builtin,3,7616,0x8f9d5b90040,272,StringGreaterThanOrEqual
