v8-version,6,8,275,32,-node.45,0
shared-library,/home/vagrant/.nvm/versions/node/v10.14.2/bin/node,0x400000,0x2290000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.27.so,0x7f9b28d8d000,0x7f9b28f74000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.27.so,0x7f9b2917e000,0x7f9b29198000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f9b2939d000,0x7f9b293b4000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.27.so,0x7f9b295b5000,0x7f9b29752000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25,0x7f9b29953000,0x7f9b29acc000,0
shared-library,/lib/x86_64-linux-gnu/librt-2.27.so,0x7f9b29cdc000,0x7f9b29ce3000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.27.so,0x7f9b29ee4000,0x7f9b29ee7000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.27.so,0x7f9b2a0e8000,0x7f9b2a111000,0
shared-library,[vdso],0x7ffee0ad7000,0x7ffee0ad9000,0
shared-library,[vsyscall],0xffffffffff600000,0xffffffffff601000,0
profiler,begin,1000
tick,0x7f9b2918e7c6,2886,0,0x0,6
tick,0xe75a44,2994,0,0x0,6
code-creation,Builtin,3,3578,0x1f9c5c689e80,1396,RecordWrite
code-creation,Builtin,3,3703,0x1f9c5c68a440,32,AdaptorWithExitFrame
code-creation,Builtin,3,3814,0x1f9c5c68a4a0,32,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,3931,0x1f9c5c68a500,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,4068,0x1f9c5c68a640,205,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,4161,0x1f9c5c68a760,274,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,4257,0x1f9c5c68a8c0,299,CallFunction_ReceiverIsAny
code-creation,Builtin,3,4350,0x1f9c5c68aa40,139,CallBoundFunction
code-creation,Builtin,3,4441,0x1f9c5c68ab20,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,4539,0x1f9c5c68abe0,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,4640,0x1f9c5c68aca0,120,Call_ReceiverIsAny
code-creation,Builtin,3,4729,0x1f9c5c68ad60,1008,CallProxy
code-creation,Builtin,3,4818,0x1f9c5c68b1a0,81,CallVarargs
code-creation,Builtin,3,4912,0x1f9c5c68b240,1380,CallWithSpread
code-creation,Builtin,3,5010,0x1f9c5c68b800,1360,CallWithArrayLike
code-creation,Builtin,3,5107,0x1f9c5c68bda0,102,CallForwardVarargs
code-creation,Builtin,3,5199,0x1f9c5c68be60,102,CallFunctionForwardVarargs
code-creation,Builtin,3,5289,0x1f9c5c68bf20,26,ConstructFunction
code-creation,Builtin,3,5388,0x1f9c5c68bf80,139,ConstructBoundFunction
code-creation,Builtin,3,5478,0x1f9c5c68c060,43,ConstructedNonConstructable
code-creation,Builtin,3,5568,0x1f9c5c68c0e0,86,Construct
code-creation,Builtin,3,5660,0x1f9c5c68c180,81,ConstructVarargs
code-creation,Builtin,3,5753,0x1f9c5c68c220,1396,ConstructWithSpread
code-creation,Builtin,3,5856,0x1f9c5c68c7e0,1432,ConstructWithArrayLike
code-creation,Builtin,3,5951,0x1f9c5c68cdc0,156,ConstructForwardVarargs
code-creation,Builtin,3,6045,0x1f9c5c68cea0,156,ConstructFunctionForwardVarargs
code-creation,Builtin,3,6140,0x1f9c5c68cf80,250,JSConstructStubGeneric
code-creation,Builtin,3,6232,0x1f9c5c68d0c0,169,JSBuiltinsConstructStub
code-creation,Builtin,3,6330,0x1f9c5c68d1c0,721,FastNewObject
code-creation,Builtin,3,6425,0x1f9c5c68d4e0,355,FastNewClosure
code-creation,Builtin,3,6525,0x1f9c5c68d6a0,251,FastNewFunctionContextEval
code-creation,Builtin,3,6654,0x1f9c5c68d7e0,247,FastNewFunctionContextFunction
code-creation,Builtin,3,6744,0x1f9c5c68d920,246,CreateRegExpLiteral
code-creation,Builtin,3,6871,0x1f9c5c68da60,650,CreateEmptyArrayLiteral
code-creation,Builtin,3,6977,0x1f9c5c68dd40,1540,CreateShallowArrayLiteral
code-creation,Builtin,3,7071,0x1f9c5c68e3a0,1484,CreateShallowObjectLiteral
code-creation,Builtin,3,7165,0x1f9c5c68e9c0,1004,ConstructProxy
code-creation,Builtin,3,7260,0x1f9c5c68ee00,122,JSEntryTrampoline
code-creation,Builtin,3,7358,0x1f9c5c68eec0,122,JSConstructEntryTrampoline
code-creation,Builtin,3,7451,0x1f9c5c68ef80,326,ResumeGeneratorTrampoline
code-creation,Builtin,3,7545,0x1f9c5c68f120,17,InterruptCheck
code-creation,Builtin,3,7637,0x1f9c5c68f180,17,StackCheck
code-creation,Builtin,3,7723,0x1f9c5c68f1e0,727,StringCharAt
code-creation,Builtin,3,7860,0x1f9c5c68f500,838,StringCodePointAtUTF16
code-creation,Builtin,3,7955,0x1f9c5c68f8a0,846,StringCodePointAtUTF32
code-creation,Builtin,3,8110,0x1f9c5c68fc40,592,StringEqual
code-creation,Builtin,3,8246,0x1f9c5c68fee0,272,StringGreaterThan
code-creation,Builtin,3,8340,0x1f9c5c690040,272,StringGreaterThanOrEqual
code-creation,Builtin,3,8431,0x1f9c5c6901a0,1052,StringIndexOf
code-creation,Builtin,3,8522,0x1f9c5c690600,272,StringLessThan
code-creation,Builtin,3,8611,0x1f9c5c690760,272,StringLessThanOrEqual
code-creation,Builtin,3,8724,0x1f9c5c6908c0,190,StringRepeat
code-creation,Builtin,3,8827,0x1f9c5c6909c0,3006,StringSubstring
code-creation,Builtin,3,8917,0x1f9c5c6915c0,72,OrderedHashTableHealIndex
code-creation,Builtin,3,9021,0x1f9c5c691660,820,InterpreterEntryTrampoline
code-creation,Builtin,3,9117,0x1f9c5c6919e0,85,InterpreterPushArgsThenCall
code-creation,Builtin,3,9214,0x1f9c5c691a80,91,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,9321,0x1f9c5c691b20,88,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,9414,0x1f9c5c691bc0,84,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,9505,0x1f9c5c691c60,84,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,9600,0x1f9c5c691d00,87,InterpreterPushArgsThenConstructWithFinalSpread
